Gene.Symbol,Essentiality_Rep1,Essentiality_Rep2
IRF8,-1.819512204,-1.844243694
ISCA1,-2.608735425,-3.039968102
ISCA2,-1.493601342,-1.541809886
ISCU,-0.93686405,-0.857037631
ISG20L2,-2.599912028,-1.872021154
ITPK1,-0.878351612,-0.751080922
IWS1,-1.623921341,-1.399150659
JMJD6,-2.400288223,-2.005682581
KANSL1,-1.438166376,-1.097401364
KANSL2,-1.214511947,-1.239337005
KANSL3,-1.796642811,-1.583281451
KARS,-1.529529147,-1.5258002
KAT7,-1.030414716,-0.938609579
KAT8,-1.823539272,-2.085105278
KDM1A,-1.166535366,-0.99054783
KDM2A,-1.187223215,-0.98750274
KIAA0391,-1.114306124,-0.886440605
KIDINS220,-0.930200479,-0.820247822
KIF23,-1.660915888,-1.491803461
KIN,-1.298998458,-1.390803185
KMT2A,-2.401521259,-1.936959519
KPNB1,-1.535266682,-1.197408972
KRR1,-1.753036906,-1.396110506
KTI12,-2.497460893,-2.033567678
LAGE3,-2.702435899,-1.770883786
LARS,-1.831192955,-1.531364145
LARS2,-1.916323442,-1.078566258
LAS1L,-1.798868533,-1.438579926
LCMT1,-1.813093112,-1.48545326
LDB1,-1.692630123,-0.945967279
LETM1,-1.784073446,-1.610773694
LIAS,-2.174460405,-1.967460265
LIN52,-1.583332941,-1.459137749
LIPT1,-1.299666819,-0.986845137
LIPT2,-1.150474609,-0.825028287
LONP1,-2.203480705,-1.813182436
LRPPRC,-2.137491311,-1.359017379
LRR1,-2.086585887,-1.91531021
LSG1,-1.425670119,-1.297145751
LSM10,-1.455054304,-1.137977358
LSM12,-0.943906894,-0.967814504
LSM2,-2.250444468,-2.454158497
LSM3,-1.374526546,-1.391611175
LSM5,-1.315419556,-1.182201056
LSM6,-1.801592659,-1.46488003
LSM7,-1.963606892,-1.598025317
LTV1,-1.086352844,-1.032243324
LUC7L3,-1.518314169,-1.39553452
LYRM4,-1.415738422,-1.391663843
MAD2L2,-1.777665431,-1.688453726
MALSU1,-1.375837302,-1.100691295
MAP2K1,-1.644775147,-1.592089133
MAP2K2,-1.039223417,-1.051952584
MARS,-1.882285726,-1.534273684
MARS2,-2.282739267,-1.45765609
MASTL,-1.808301008,-1.615475558
MAT2A,-1.065328593,-1.047506638
MATR3,-0.832579363,-0.845794704
MAU2,-1.603674832,-1.3730289
MBTPS1,-2.502472165,-1.880754336
